行政區,路名,段、號及其他註明,經度,緯度,備註
松山區,東興路,21號,121.565439,25.049756,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,東興路,12號,121.565344,25.049771,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復北路,3號,121.557924,25.048496,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復北路,15號,121.557985,25.049652,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,健康路,195號,121.562153,25.054164,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,三民路,30號,121.563889,25.053113,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,三民路,33號,121.563695,25.05525,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,三民路,64號,121.563873,25.054798,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,塔悠路,82號,121.569852,25.053106,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,八德路,四段23號,121.559109,25.04838,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,八德路,四段101號,121.560989,25.048562,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,八德路,四段151號,121.562566,25.04873,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,八德路,四段197號,121.563725,25.048855,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,八德路,四段622號,121.572354,25.049864,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,八德路,四段692號(捷運松山線3號出口),121.569128,25.051106,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復南路,21號,121.557893,25.047074,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,八德路,四段746號(松山國小)(捷運松山線5號出口),121.578446,25.049984,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,八德路,四段723號(捷運松山線1號出口),121.577753,25.050553,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,八德路,四段687號(捷運松山站2號出口),121.577281,25.05013,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,五段66巷對面公車專用道,121.576287,25.050107,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,五段268號,121.566489,25.051506,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,五段346號,121.566695,25.051208,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,五段305號,121.560623,25.051455,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,寶清街,77號對面,121.568017,25.052177,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,松河街,180號,121.576664,25.051441,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,五段241號,121.564865,25.05158,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,五段385號,121.56911,25.051551,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,市民大道,五段與八德路四段106巷口,121.561488,25.046821,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,八德路,四段218號,121.563705,25.048702,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,3段118號,121.5455556,25.0575,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,3段156號,121.5475,25.0575,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,150號,121.548611,25.054722,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,150號公車專用道,121.548888,25.054444,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,122號,121.548611,25.053888,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,102號,121.5486111,25.053333,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,100號,121.548611,25.052777,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,100號公車專用道,121.548888,25.052222,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,62號,121.548611,25.051111,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,2號,121.5486111,25.05,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,2號,121.5486111,25.049722,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,2號,121.5486111,25.049444,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,2號,121.5486111,25.048611,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,2號公車專用道,121.5488889,25.048055,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化南路,1段88號,121.5486111,25.046944,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化南路,1段108號,121.5486111,25.045,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化南路,1段108號公車專用道,121.5488889,25.045277,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化南路,1段57號,121.5491667,25.045833,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化南路,1段5號,121.5491667,25.047222,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化南路,1段3號,121.5491667,25.0475,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,5號,121.5491667,25.049166,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,5號,121.5491667,25.049444,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,5號,121.5491667,25.050277,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,5號,121.5491667,25.051111,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復北路,68號,121.557789,25.050073,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復南路,6巷與22巷公車站牌間,121.557685,25.047393,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復南路,22號,121.5577,25.04694,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,復興南路,1段43號,121.5441667,25.04583333,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,八德路,3段25號,121.552022,25.048259,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,八德路,3段10號對面,121.550315,25.048248,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,八德路,2段敦化國小側門,121.5481,25.04828,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,長安東路,2段219號,121.5453,25.04828,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,3段258號(捷運南京復興站5號出口),121.5447222,25.051666,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,3段272號,121.5452778,25.051666,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,3段340號,121.5478,25.05161,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,3段350號前公車專用道,121.5483333,25.051666,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,4段與敦化北路口,121.5494444,25.051666,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,4段2號(捷運小巨蛋2號出口),121.550835,25.051581,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,4段10號(捷運小巨蛋3號出口),121.5525,25.05156,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,4段18號(捷運小巨蛋4號出口),121.553332,25.051546,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,4段102號,121.554167,25.051535,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,4段114號,121.554739,25.051508,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,4段118號前公車專用道,121.5547,25.05158,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,4段126號,121.55525,25.051507,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,4段156號,121.556109,25.051468,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,3段339號,121.5477778,25.05194444,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,3段289號,121.5463889,25.05194444,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,3段253號前公車專用道,121.5441667,25.05194444,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,長春路,331號,121.5444,25.05461,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,民生東路,四段130號(7-11便利店前),121.555105,25.05814,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復北路,226號前,121.555558,25.056088,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復北路,190巷口左側,121.555889,25.05455,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復北路,光復北路健康路口(西北角),121.556399,25.053734,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復北路,光復北路健康路口(東南角),121.556736,25.05353,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,健康路,156號(公車三軍總醫院松山分院站),121.557208,25.053598,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,健康路,131號(松山醫院大門),121.557836,25.053882,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復北路,光復北路健康路口(東北角),121.556539,25.053848,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復北路,單號(松山醫院急診室入口),121.555996,25.054616,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,光復北路,155巷口(公車松山新城站),121.555865,25.055209,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,三民路,24號對面(公車西松國小站),121.563753,25.052903,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,五段125號(公車南京三民路口站),121.560889,25.051524,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,五段79號,121.559855,25.051662,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,五段29號,121.558149,25.05165,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,四段199號,121.557131,25.051676,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,四段139號,121.555275,25.051742,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,四段139號(公車南京寧安街口站),121.555268,25.051635,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,四段55-1號(捷運台北小巨蛋5號出口),121.55223,25.05183,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,四段53巷口(捷運台北小巨蛋1號出口),121.551254,25.051826,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,南京東路,四段1號(公車南京敦化路口(小巨蛋)站),121.549258,25.051795,嚴禁投入家用垃圾，違者重罰新台幣6000元
松山區,敦化北路,131號(公車南京敦化路口(小巨蛋)站),121.549314,25.052612,嚴禁投入家用垃圾，違者重罰新台幣6000元
